time,hr
2019-01-11 17:31:45 +0700,97
2019-01-11 17:36:27 +0700,61
2019-01-11 17:36:31 +0700,61
2019-01-11 17:38:02 +0700,84
2019-01-11 17:38:07 +0700,81
2019-01-11 17:38:15 +0700,70
2019-01-11 17:38:21 +0700,69
2019-01-11 17:40:40 +0700,44
2019-01-11 17:39:13 +0700,62
2019-01-11 17:43:00 +0700,92
2019-01-11 17:43:14 +0700,61
2019-01-11 17:43:18 +0700,58
2019-01-11 17:43:23 +0700,57
2019-01-11 17:43:43 +0700,61
2019-01-11 17:49:22 +0700,64
2019-01-11 17:52:22 +0700,77
2019-01-11 17:52:27 +0700,81
2019-01-11 17:53:10 +0700,71
2019-01-11 17:55:24 +0700,58.9271
2019-01-11 17:54:17 +0700,66
2019-01-11 17:59:14 +0700,74
2019-01-11 18:02:16 +0700,67
2019-01-11 18:10:30 +0700,107
2019-01-11 18:10:35 +0700,97
2019-01-11 18:07:41 +0700,65
2019-01-11 18:11:57 +0700,92
2019-01-11 18:12:02 +0700,97
2019-01-11 18:12:08 +0700,93
2019-01-11 18:13:42 +0700,98
2019-01-11 18:13:52 +0700,69
2019-01-11 18:13:54 +0700,70
2019-01-11 18:15:59 +0700,59
2019-01-11 18:17:04 +0700,82
2019-01-11 18:23:21 +0700,66
2019-01-11 18:27:10 +0700,84
2019-01-11 18:27:15 +0700,88
2019-01-11 18:40:20 +0700,78
2019-01-11 18:26:24 +0700,59
2019-01-11 18:40:59 +0700,62
2019-01-11 18:44:05 +0700,60
2019-01-11 18:50:02 +0700,62
2019-01-11 19:00:00 +0700,65
2019-01-11 19:03:50 +0700,69
2019-01-11 19:20:02 +0700,74
2019-01-11 19:21:27 +0700,63
2019-01-11 19:29:34 +0700,70
2019-01-11 19:35:23 +0700,72
2019-01-11 19:37:14 +0700,77
2019-01-11 19:44:29 +0700,74.9268
2019-01-11 19:43:54 +0700,86
2019-01-11 19:48:36 +0700,80
2019-01-11 19:53:55 +0700,81
2019-01-11 19:56:36 +0700,71
2019-01-11 20:04:14 +0700,67
2019-01-11 20:08:03 +0700,69
2019-01-11 20:11:28 +0700,71
2019-01-11 20:19:10 +0700,63
2019-01-11 20:21:46 +0700,63
